批次,编号,名称,目录,文件名,比例,生成尺寸,成品尺寸,状态
4,S04,公司工位区,原图/04-场景,背景_办公室工位.png,16:9,1920x1080,512x288,已合格
5,T01,地板材质 地毯+水泥+木地板,原图/05-瓦片,瓦片_地板_地毯_01.png,1:1,1024x1024,32x32,待替换-见W01~W06,墙面材质 隔板+办公墙+玻璃,原图/05-瓦片,瓦片_墙面_隔板.png,1:1,1024x1024,32x32,可用
5,T03,台面材质 木隔断等,原图/05-瓦片,瓦片_台面_木隔断.png,1:1,1024x1024,32x32,待替换-见W01~W06-接缝已修
5,T04,圆形毯与地贴,原图/05-瓦片,瓦片_地毯_圆形.png,1:1,1024x1024,32x32,待替换-见W01~W06-需切片
6,P01,展位道具 易拉宝+折叠桌+指示牌,原图/06-道具,道具_展位_易拉宝.png,1:1,1024x1024,96x128,已合格
6,P02,办公设备 投递箱+资料架+打印机,原图/06-道具,道具_办公_投递箱.png,1:1,1024x1024,96x128,已合格
6,P03,小物7件 简章+简历+杯子+绿植+纸箱+水瓶+背包,原图/06-道具,道具_小物_简章.png,1:1,1024x1024,64x64,已合格
6,P04,桌面杂物6件 便利贴+笔筒+胶带+鼠标+键盘+耳机,原图/06-道具,道具_桌面_便利贴.png,1:1,1024x1024,64x64,已合格
7,U01,卡牌框与卡背,原图/07-界面,界面_卡牌框与卡背.png,3:4,1024x1365,96x128,已合格
7,U02,对话框九宫格,原图/07-界面,界面_对话框_九宫格.png,1:1,1024x1024,96x32,已合格
7,U03,通用按钮四态,原图/07-界面,界面_通用按钮四态.png,1:1,1024x1024,96x32,已合格
7,U04,知乎入口按钮四态,原图/07-界面,界面_知乎入口四态.png,1:1,1024x1024,64x64,已合格
7,U05,知乎内容卡与跳转按钮,原图/07-界面,界面_知乎内容卡与跳转按钮.png,4:3,1024x768,256x96,已合格
7,U06,评级徽章4枚,原图/07-界面,界面_评级徽章4枚.png,1:1,1024x1024,96x96,已合格
7,U07,图标16枚,原图/07-界面,界面_图标16枚.png,1:1,1024x1024,32x32,已合格
7,U08,鼠标指针四态,原图/07-界面,界面_鼠标指针四态.png,1:1,1024x1024,24x24,已合格
8,X01,特效5组各3帧,原图/08-特效封面,特效_五组各3帧.png,1:1,1024x1024,64x64,已合格
8,X02,分享图外框与装饰,原图/08-特效封面,界面_分享图外框与装饰.png,3:4,1024x1365,270x360,已合格
8,X03,章节封面 横版,原图/08-特效封面,背景_章节封面_横版.png,16:9,1600x900,512x288,已合格
8,X04,章节封面 竖版,原图/08-特效封面,背景_章节封面_竖版.png,9:16,900x1600,288x512,已合格
9,W01,瓦片 办公地毯,原图/09-瓦片v2,瓦片_地面_办公地毯.png,1:1,512x512,32x32,程序生成-已就绪
9,W02,瓦片 走廊地砖,原图/09-瓦片v2,瓦片_地面_走廊地砖.png,1:1,512x512,32x32,程序生成-已就绪
9,W03,瓦片 木地板,原图/09-瓦片v2,瓦片_地面_木地板.png,1:1,512x512,32x32,程序生成-已就绪
9,W04,瓦片 办公白墙,原图/09-瓦片v2,瓦片_墙面_办公白墙.png,1:1,512x512,32x32,程序生成-已就绪
9,W05,瓦片 玻璃隔断,原图/09-瓦片v2,瓦片_墙面_玻璃隔断.png,1:1,512x512,32x32,程序生成-已就绪
9,W06,瓦片 木质桌面,原图/09-瓦片v2,瓦片_台面_木质桌面.png,1:1,512x512,32x32,程序生成-已就绪
10,I01,气泡 我方,原图/10-界面v2,界面_气泡_我方.png,4:3,1024x768,九宫格,已合格
10,I02,气泡 对方,原图/10-界面v2,界面_气泡_对方.png,4:3,1024x768,九宫格,已合格
10,I03,气泡 群聊,原图/10-界面v2,界面_气泡_群聊.png,4:3,1024x768,九宫格,已合格
10,I04,聊天区背景,原图/10-界面v2,界面_底_聊天区.png,1:1,1024x1024,铺满,已合格
10,I05,会话列表项两态,原图/10-界面v2,界面_列表项_两态.png,3:4,1024x1365,拉伸,已合格
10,I06,功能栏底,原图/10-界面v2,界面_底_功能栏.png,3:4,1024x1365,拉伸,已合格
10,I07,头像框四款,原图/10-界面v2,界面_头像框_四款.png,1:1,1024x1024,96x96,已合格
10,I08,微信图标6枚,原图/10-界面v2,界面_图标_微信6枚.png,4:3,1024x768,32x32,已合格
10,I09,移动端顶栏,原图/10-界面v2,界面_顶栏_移动端.png,16:9,1920x1080,九宫格,已合格
10,I10,移动端底栏,原图/10-界面v2,界面_底栏_移动端.png,16:9,1920x1080,九宫格,已合格
10,I11,手机按钮两态,原图/10-界面v2,界面_手机按钮_两态.png,1:1,1024x1024,48x48,已合格
10,I12,聊天小件六种,原图/10-界面v2,界面_小件_六种.png,4:3,1024x768,小件,已合格
10,I13,贴纸12枚,原图/10-界面v2,贴纸_刘看山12枚.png,1:1,1024x1024,64x64,已合格
11,A01,主角四方向行走16帧,原图/11-角色动画,角色_刘看山_四方向行走16帧.png,1:1,1024x1024,32x48,已合格
11,A02,主角待机8帧,原图/11-角色动画,角色_刘看山_待机8帧.png,1:1,1024x1024,32x48,已合格
11,A03,主角动作8帧,原图/11-角色动画,角色_刘看山_动作8帧.png,1:1,1024x1024,32x48,已合格
11,A04,林总朝向6帧,原图/11-角色动画,角色_林总_朝向6帧.png,1:1,1024x1024,32x48,已合格
11,A05,周岚朝向6帧,原图/11-角色动画,角色_周岚_朝向6帧.png,1:1,1024x1024,32x48,已合格
11,A06,阿麦朝向6帧,原图/11-角色动画,角色_阿麦_朝向6帧.png,1:1,1024x1024,32x48,已合格
11,A07,韩策朝向6帧,原图/11-角色动画,角色_韩策_朝向6帧.png,1:1,1024x1024,32x48,已合格
11,A08,小鹿朝向6帧,原图/11-角色动画,角色_小鹿_朝向6帧.png,1:1,1024x1024,32x48,已合格
11,A09,程女士朝向6帧,原图/11-角色动画,角色_程女士_朝向6帧.png,1:1,1024x1024,32x48,已合格
11,A10,林总四表情,原图/11-角色动画,角色_林总_四表情.png,1:1,1024x1024,96x96,已合格
11,A11,周岚四表情,原图/11-角色动画,角色_周岚_四表情.png,1:1,1024x1024,96x96,已合格
11,A12,阿麦四表情,原图/11-角色动画,角色_阿麦_四表情.png,1:1,1024x1024,96x96,已合格
11,A13,韩策四表情,原图/11-角色动画,角色_韩策_四表情.png,1:1,1024x1024,96x96,已合格
11,A14,小鹿四表情,原图/11-角色动画,角色_小鹿_四表情.png,1:1,1024x1024,96x96,已合格
11,A15,程女士四表情,原图/11-角色动画,角色_程女士_四表情.png,1:1,1024x1024,96x96,已合格
12,O01,工位区家具9件,原图/12-办公家具,道具_工位区9件.png,1:1,1024x1024,48x48,已合格
12,O02,会议室家具6件,原图/12-办公家具,道具_会议室6件.png,1:1,1024x1024,48x48,已合格
12,O03,茶水间家具4件,原图/12-办公家具,道具_茶水间4件.png,1:1,1024x1024,48x48,已合格
13,G01,急件机器6件,原图/13-小游戏道具,道具_急件机器6件.png,1:1,1024x1024,48x48,已合格
13,G02,急件文件6件,原图/13-小游戏道具,道具_急件文件6件.png,1:1,1024x1024,32x32,已合格
13,G03,PPT道具6件,原图/13-小游戏道具,道具_PPT6件.png,1:1,1024x1024,48x48,已合格
14,E01,沙漏10帧a,原图/14-转场结局,特效_沙漏_10帧_a.png,16:9,1920x1080,320x64,已合格
14,E02,沙漏10帧b,原图/14-转场结局,特效_沙漏_10帧_b.png,16:9,1920x1080,320x64,已合格
14,E03,结局 转正,原图/14-转场结局,插画_结局_转正.png,16:9,1920x1080,512x288,已合格
14,E04,结局 跳级升职,原图/14-转场结局,插画_结局_跳级升职.png,16:9,1920x1080,512x288,已合格
14,E05,结局 结束实习,原图/14-转场结局,插画_结局_结束实习.png,16:9,1920x1080,512x288,已合格
